COGNOME; MATRICOLA; REGIONE; MEDIA; PUNTI1; PUNTI2; PUNTI3
ROSSI;AT943;PUGLIA;74.000000;86;74;62
FERRARI;IS145;PIEMONTE;67.666664;87;53;63
RUSSO;IR845;PIEMONTE;90.000000;99;85;86
BIANCHI;IM984;LOMBARDIA;56.000000;77;57;34
ROMANO;CV952;PUGLIA;45.333332;34;65;37
GALLO;SW122;VENETO;84.666664;85;92;77
COSTA;OI250;PIEMONTE;77.000000;88;68;75
FONTANA;AW894;MOLISE;72.333336;75;86;56
CONTI;PW015;LOMBARDIA;63.000000;88;33;68
ESPOSITO;QJ768;MOLISE;97.666664;98;99;96
RICCI;TE525;PUGLIA;53.000000;45;58;56
BRUNO;TV010;LIGURIA;65.000000;65;45;85
RIZZO;MG629;LIGURIA;61.333332;57;65;62
MORETTI;PO953;VENETO;80.333336;78;88;75
MARINO;MV515;LOMBARDIA;74.666664;66;74;84
GRECO;PQ031;PIEMONTE;74.000000;85;74;63
BARBIERI;MB834;PUGLIA;56.333332;45;65;59
LOMBARDI;BI245;MOLISE;86.333336;89;95;75
GIORDANO;BQ955;LAZIO;76.000000;77;82;69
RINALDI;JF573;PIEMONTE;53.000000;50;47;62
COLOMBO;VD952;MOLISE;61.000000;70;51;62
MANCINI;OI994;PUGLIA;64.666664;62;65;67
LONGO;UK726;LAZIO;71.333336;75;65;74
LONGO;UK726;LAZIO;71.333336;75;65;74
PIZ;jR7dAcPIZ;PIEMOTNE;54.333332;59;79;25
